transaction_id,date,year,month,day,product,commodity_category,hs_code,quantity,unit,unit_price,trade_value,market_price,price_deviation,exporter_company,exporter_country,export_port,importer_company,importer_country,import_port,shipping_route,distance_km,transport_mode,vessel_id,port_calls,port_activity_index,cargo_volume,shipment_duration_days,trade_frequency_30d,company_risk_score,route_anomaly,fraud_label
TXN00011,2024-05-31,2024,5,31,Wheat,Agriculture,100199,3185,tons,322.55,1027321.75,300,0.0752,PetroGlobal,UAE,Dubai,JiangsuCopper,China,Shanghai,Dubai-Hamburg,6100,Sea,IMO6668577,5,1.24,85499,8,7,0.31,0,0
TXN00012,2024-04-09,2024,4,9,CrudeOil,Energy,270900,3129,tons,85.5,267529.5,75,0.14,AgriGrain,USA,Houston,BharatMetals,India,Chennai,Perth-Yokohama,7800,Sea,IMO5547550,2,1.38,73607,14,10,0.84,0,0
TXN00013,2024-01-30,2024,1,30,Wheat,Agriculture,100199,3067,tons,339.25,1040479.75,300,0.1308,AndesMining,Chile,Valparaiso,NipponAlloys,Japan,Yokohama,Valparaiso-Shanghai,17000,Sea,IMO4942436,3,0.84,92781,17,23,0.68,0,0
TXN00014,2024-04-25,2024,4,25,Wheat,Agriculture,100199,1702,tons,327.29,557047.58,300,0.091,AgriGrain,USA,Houston,NipponAlloys,Japan,Yokohama,Valparaiso-Shanghai,17000,Sea,IMO2607164,5,1.63,120073,35,10,0.67,0,0
TXN00015,2024-06-14,2024,6,14,Aluminum,Metal,760110,836,tons,2438.32,2038435.52,2400,0.016,HuaxinSteel,China,Shanghai,EuroEnergy,Germany,Hamburg,Houston-Alexandria,11500,Sea,IMO8070484,5,1.59,121276,35,12,0.75,0,0
TXN00016,2024-06-24,2024,6,24,Steel,Metal,720712,2370,tons,547.5,1297575.0,520,0.0529,PetroGlobal,UAE,Dubai,DeltaFoods,Egypt,Alexandria,Houston-Alexandria,11500,Sea,IMO3963664,2,1.63,82359,8,25,0.68,0,0
TXN00017,2024-06-01,2024,6,1,Wheat,Agriculture,100199,1484,tons,358.39,531850.76,300,0.1946,HuaxinSteel,China,Shanghai,JiangsuCopper,China,Shanghai,Valparaiso-Shanghai,17000,Sea,IMO9873294,3,1.36,42621,22,22,0.93,0,0
TXN00018,2024-03-28,2024,3,28,Steel,Metal,720712,1742,tons,579.9,1010185.8,520,0.1152,AndesMining,Chile,Valparaiso,DeltaFoods,Egypt,Alexandria,Shanghai-Singapore-Chennai,5600,Sea,IMO8099967,7,1.68,53392,34,25,0.08,0,0
TXN00019,2024-04-27,2024,4,27,Copper,Metal,740311,3018,tons,8684.29,26209187.22,8500,0.0217,AusMetal,Australia,Perth,EuroEnergy,Germany,Hamburg,Valparaiso-Shanghai,17000,Sea,IMO5215390,8,1.11,48786,33,4,0.66,0,0
TXN00020,2024-02-17,2024,2,17,Steel,Metal,720712,2563,tons,542.39,1390145.57,520,0.0431,AusMetal,Australia,Perth,DeltaFoods,Egypt,Alexandria,Perth-Malaysia-Indonesia-Yokohama,12000,Sea,IMO9177909,3,1.23,90225,19,22,0.73,1,0
TXN00021,2024-02-29,2024,2,29,CrudeOil,Energy,270900,3781,tons,88.41,334278.21,75,0.1788,AndesMining,Chile,Valparaiso,NipponAlloys,Japan,Yokohama,Valparaiso-Shanghai,17000,Sea,IMO7995968,7,1.06,72351,27,13,0.1,0,0
TXN00022,2024-06-26,2024,6,26,Steel,Metal,720712,2319,tons,531.02,1231435.38,520,0.0212,AgriGrain,USA,Houston,NipponAlloys,Japan,Yokohama,Houston-Alexandria,11500,Sea,IMO1636607,8,1.05,55957,25,19,0.47,0,0
TXN00023,2024-05-01,2024,5,1,Steel,Metal,720712,1484,tons,489.21,725987.64,520,-0.0592,HuaxinSteel,China,Shanghai,BharatMetals,India,Chennai,Dubai-Hamburg,6100,Sea,IMO3095801,8,1.65,122196,34,13,0.25,0,0
TXN00024,2024-02-15,2024,2,15,Aluminum,Metal,760110,2589,tons,2329.31,6030583.59,2400,-0.0295,AgriGrain,USA,Houston,EuroEnergy,Germany,Hamburg,Valparaiso-Shanghai,17000,Sea,IMO9170453,8,1.52,124065,9,30,0.48,0,0
TXN00025,2024-02-14,2024,2,14,Wheat,Agriculture,100199,1680,tons,320.0,537600.0,300,0.0667,AgriGrain,USA,Houston,EuroEnergy,Germany,Hamburg,Shanghai-Singapore-Chennai,5600,Sea,IMO5678950,4,1.17,53928,26,16,0.86,0,0
TXN00026,2024-05-29,2024,5,29,Aluminum,Metal,760110,3376,tons,2642.67,8921653.92,2400,0.1011,HuaxinSteel,China,Shanghai,EuroEnergy,Germany,Hamburg,Shanghai-Singapore-Chennai,5600,Sea,IMO5499644,2,1.21,41497,18,6,0.25,0,0
TXN00027,2024-04-27,2024,4,27,Aluminum,Metal,760110,2318,tons,8003.86,18552947.48,2400,2.3349,AgriGrain,USA,Houston,JiangsuCopper,China,Shanghai,Valparaiso-Shanghai,17000,Sea,IMO6452475,1,1.32,33081,31,1,0.56,0,2
TXN00028,2024-03-25,2024,3,25,Steel,Metal,720712,3970,tons,544.27,2160751.9,520,0.0467,AgriGrain,USA,Houston,EuroEnergy,Germany,Hamburg,Valparaiso-Shanghai,17000,Sea,IMO2288347,8,0.97,145218,32,11,0.08,0,0
TXN00029,2024-05-27,2024,5,27,Copper,Metal,740311,2493,tons,7825.39,19508697.27,8500,-0.0794,AusMetal,Australia,Perth,DeltaFoods,Egypt,Alexandria,Shanghai-Singapore-Chennai,5600,Sea,IMO9326508,5,1.58,133417,18,18,0.64,0,0
TXN00030,2024-06-03,2024,6,3,CrudeOil,Energy,270900,2766,tons,86.3,238705.8,75,0.1507,AndesMining,Chile,Valparaiso,JiangsuCopper,China,Shanghai,Houston-Alexandria,11500,Sea,IMO5749433,5,1.15,87678,25,16,0.65,0,0
TXN00031,2024-03-06,2024,3,6,Wheat,Agriculture,100199,3580,tons,335.24,1200159.2,300,0.1175,AgriGrain,USA,Houston,DeltaFoods,Egypt,Alexandria,Perth-Yokohama,7800,Sea,IMO2150576,5,1.55,21674,28,17,0.76,0,0
TXN00032,2024-06-06,2024,6,6,Steel,Metal,720712,3949,tons,211.58,835529.42,520,-0.5931,PetroGlobal,UAE,Dubai,BharatMetals,India,Chennai,Valparaiso-Shanghai,17000,Sea,IMO6093406,2,0.78,43907,31,24,0.59,0,2
TXN00033,2024-06-29,2024,6,29,Steel,Metal,720712,999,tons,611.89,611278.11,520,0.1767,PetroGlobal,UAE,Dubai,DeltaFoods,Egypt,Alexandria,Dubai-Hamburg,6100,Sea,IMO2389442,3,1.54,59684,28,8,0.86,0,0
TXN00034,2024-04-21,2024,4,21,Copper,Metal,740311,2668,tons,8361.84,22309389.12,8500,-0.0163,PetroGlobal,UAE,Dubai,BharatMetals,India,Chennai,Shanghai-Singapore-Chennai,5600,Sea,IMO8783123,3,1.77,139415,29,6,0.9,0,0
TXN00035,2024-03-25,2024,3,25,Aluminum,Metal,760110,1409,tons,2578.56,3633191.04,2400,0.0744,AusMetal,Australia,Perth,EuroEnergy,Germany,Hamburg,Dubai-Hamburg,6100,Sea,IMO2941648,8,1.77,83582,26,15,0.48,0,0
TXN00036,2024-04-04,2024,4,4,CrudeOil,Energy,270900,2390,tons,88.25,210917.5,75,0.1767,AusMetal,Australia,Perth,DeltaFoods,Egypt,Alexandria,Dubai-Hamburg,6100,Sea,IMO9121907,5,1.13,20592,25,25,0.32,0,0
TXN00037,2024-06-22,2024,6,22,Copper,Metal,740311,3691,tons,9333.17,34448730.47,8500,0.098,AgriGrain,USA,Houston,NipponAlloys,Japan,Yokohama,Perth-Yokohama,7800,Sea,IMO8223238,8,0.84,66695,34,7,0.87,0,0
TXN00038,2024-01-10,2024,1,10,Wheat,Agriculture,100199,1572,tons,337.68,530832.96,300,0.1256,AgriGrain,USA,Houston,NipponAlloys,Japan,Yokohama,Perth-Malaysia-Indonesia-Yokohama,12000,Sea,IMO2677992,2,1.11,68148,18,18,0.4,1,0
TXN00039,2024-06-07,2024,6,7,CrudeOil,Energy,270900,1742,tons,79.55,138576.1,75,0.0607,AgriGrain,USA,Houston,EuroEnergy,Germany,Hamburg,Houston-Alexandria,11500,Sea,IMO5760717,4,0.79,63869,31,19,0.3,0,0
TXN00040,2024-04-17,2024,4,17,Aluminum,Metal,760110,2842,tons,2500.28,7105795.76,2400,0.0418,PetroGlobal,UAE,Dubai,BharatMetals,India,Chennai,Perth-Yokohama,7800,Sea,IMO3846495,4,0.99,109450,23,30,0.05,0,0
TXN00041,2024-04-24,2024,4,24,Steel,Metal,720712,2027,tons,545.56,1105850.12,520,0.0492,PetroGlobal,UAE,Dubai,NipponAlloys,Japan,Yokohama,Valparaiso-Shanghai,17000,Sea,IMO4566072,8,0.76,97288,31,11,0.06,0,0
TXN00042,2024-05-05,2024,5,5,Wheat,Agriculture,100199,2034,tons,280.9,571350.6,300,-0.0637,AgriGrain,USA,Houston,NipponAlloys,Japan,Yokohama,Shanghai-Singapore-Chennai,5600,Sea,IMO4323481,4,1.43,136924,5,3,0.16,0,0
TXN00043,2024-04-14,2024,4,14,Steel,Metal,720712,1785,tons,559.77,999189.45,520,0.0765,AusMetal,Australia,Perth,NipponAlloys,Japan,Yokohama,Shanghai-Singapore-Chennai,5600,Sea,IMO1905610,1,1.14,68283,8,17,0.46,0,0
TXN00044,2024-01-22,2024,1,22,CrudeOil,Energy,270900,2445,tons,76.29,186529.05,75,0.0172,AusMetal,Australia,Perth,EuroEnergy,Germany,Hamburg,Perth-Yokohama,7800,Sea,IMO9528819,7,1.21,129202,7,22,0.34,0,0
TXN00045,2024-05-25,2024,5,25,Wheat,Agriculture,100199,3422,tons,317.71,1087203.62,300,0.059,HuaxinSteel,China,Shanghai,BharatMetals,India,Chennai,Dubai-Hamburg,6100,Sea,IMO9829752,2,0.85,128608,30,24,0.13,0,0
TXN00046,2024-04-17,2024,4,17,Aluminum,Metal,760110,2613,tons,2304.39,6021371.07,2400,-0.0398,AusMetal,Australia,Perth,JiangsuCopper,China,Shanghai,Perth-Yokohama,7800,Sea,IMO1383518,8,1.63,20410,14,1,0.69,0,0
TXN00047,2024-01-13,2024,1,13,Copper,Metal,740311,2675,tons,9596.7,25671172.5,8500,0.129,AgriGrain,USA,Houston,EuroEnergy,Germany,Hamburg,Valparaiso-Shanghai,17000,Sea,IMO6382462,1,1.56,62481,7,4,0.09,0,0
TXN00048,2024-04-02,2024,4,2,CrudeOil,Energy,270900,2665,tons,80.38,214212.7,75,0.0717,PetroGlobal,UAE,Dubai,DeltaFoods,Egypt,Alexandria,Perth-Malaysia-Indonesia-Yokohama,12000,Sea,IMO1660488,6,1.31,112652,20,16,0.19,1,0
TXN00049,2024-02-16,2024,2,16,Aluminum,Metal,760110,1060,tons,2558.63,2712147.8,2400,0.0661,AgriGrain,USA,Houston,JiangsuCopper,China,Shanghai,Valparaiso-Shanghai,17000,Sea,IMO2262335,7,0.98,119930,33,21,0.61,0,0
TXN00050,2024-06-25,2024,6,25,Steel,Metal,720712,955,tons,517.07,493801.85,520,-0.0056,AgriGrain,USA,Houston,JiangsuCopper,China,Shanghai,Shanghai-Singapore-Chennai,5600,Sea,IMO3630348,6,0.95,127163,10,17,0.5,0,0
TXN00051,2024-06-12,2024,6,12,Aluminum,Metal,760110,2095,tons,2864.69,6001525.55,2400,0.1936,AgriGrain,USA,Houston,DeltaFoods,Egypt,Alexandria,Valparaiso-Shanghai,17000,Sea,IMO9912514,3,1.09,105472,9,21,0.09,0,0
TXN00052,2024-06-15,2024,6,15,Steel,Metal,720712,3909,tons,536.27,2096279.43,520,0.0313,HuaxinSteel,China,Shanghai,EuroEnergy,Germany,Hamburg,Dubai-Hamburg,6100,Sea,IMO3134366,4,1.69,84702,9,19,0.88,0,0
TXN00053,2024-02-22,2024,2,22,Wheat,Agriculture,100199,3368,tons,313.57,1056103.76,300,0.0452,AndesMining,Chile,Valparaiso,JiangsuCopper,China,Shanghai,Dubai-Hamburg,6100,Sea,IMO3147638,4,0.88,114363,26,30,0.64,0,0
TXN00054,2024-05-15,2024,5,15,Copper,Metal,740311,3077,tons,9091.03,27973099.31,8500,0.0695,PetroGlobal,UAE,Dubai,NipponAlloys,Japan,Yokohama,Shanghai-Singapore-Chennai,5600,Sea,IMO1526666,1,1.75,53703,32,27,0.37,0,0
TXN00055,2024-04-07,2024,4,7,CrudeOil,Energy,270900,3941,tons,29.42,115944.22,75,-0.6077,PetroGlobal,UAE,Dubai,BharatMetals,India,Chennai,Dubai-Hamburg,6100,Sea,IMO5618781,7,1.19,108192,29,24,0.9,0,2
TXN00056,2024-02-24,2024,2,24,Copper,Metal,740311,3333,tons,9701.13,32333866.29,8500,0.1413,AgriGrain,USA,Houston,JiangsuCopper,China,Shanghai,Dubai-Hamburg,6100,Sea,IMO5112334,3,1.27,96576,22,9,0.46,0,0
TXN00057,2024-06-01,2024,6,1,Copper,Metal,740311,3230,tons,9254.48,29891970.4,8500,0.0888,AgriGrain,USA,Houston,JiangsuCopper,China,Shanghai,Houston-Alexandria,11500,Sea,IMO4317608,3,1.05,120227,10,9,0.63,0,0
TXN00058,2024-02-27,2024,2,27,Aluminum,Metal,760110,1984,tons,2423.27,4807767.68,2400,0.0097,AusMetal,Australia,Perth,EuroEnergy,Germany,Hamburg,Shanghai-Singapore-Chennai,5600,Sea,IMO5520082,8,1.33,26122,10,2,0.51,0,0
TXN00059,2024-03-21,2024,3,21,CrudeOil,Energy,270900,1152,tons,75.05,86457.6,75,0.0007,PetroGlobal,UAE,Dubai,JiangsuCopper,China,Shanghai,Perth-Yokohama,7800,Sea,IMO1315639,3,0.77,123338,24,24,0.18,0,0
TXN00060,2024-03-04,2024,3,4,Wheat,Agriculture,100199,2683,tons,336.81,903661.23,300,0.1227,HuaxinSteel,China,Shanghai,JiangsuCopper,China,Shanghai,Perth-Yokohama,7800,Sea,IMO1502649,4,0.78,46802,30,21,0.58,0,0
TXN00061,2024-02-29,2024,2,29,Aluminum,Metal,760110,2940,tons,2364.63,6952012.2,2400,-0.0147,AusMetal,Australia,Perth,EuroEnergy,Germany,Hamburg,Valparaiso-UAE-Singapore-Shanghai,22000,Sea,IMO1998175,4,1.14,129513,28,5,0.21,1,0
TXN00062,2024-03-03,2024,3,3,CrudeOil,Energy,270900,1507,tons,21.67,32656.69,75,-0.7111,PetroGlobal,UAE,Dubai,BharatMetals,India,Chennai,Shanghai-Dubai-Turkey-Chennai,9100,Sea,IMO5654559,1,1.54,82015,14,6,0.41,1,2
TXN00063,2024-02-21,2024,2,21,Aluminum,Metal,760110,1693,tons,2759.67,4672121.31,2400,0.1499,HuaxinSteel,China,Shanghai,NipponAlloys,Japan,Yokohama,Shanghai-Singapore-Chennai,5600,Sea,IMO3163494,6,1.29,111615,22,3,0.81,0,0
TXN00064,2024-03-01,2024,3,1,Wheat,Agriculture,100199,1037,tons,300.51,311628.87,300,0.0017,HuaxinSteel,China,Shanghai,BharatMetals,India,Chennai,Valparaiso-Shanghai,17000,Sea,IMO6018340,5,1.19,89411,33,23,0.54,0,0
TXN00065,2024-05-17,2024,5,17,Aluminum,Metal,760110,2777,tons,2423.31,6729531.87,2400,0.0097,AusMetal,Australia,Perth,BharatMetals,India,Chennai,Valparaiso-Shanghai,17000,Sea,IMO2446908,1,1.06,36243,5,13,0.05,0,0
TXN00066,2024-05-20,2024,5,20,Copper,Metal,740311,2526,tons,9576.67,24190668.42,8500,0.1267,AusMetal,Australia,Perth,NipponAlloys,Japan,Yokohama,Houston-Alexandria,11500,Sea,IMO2538753,5,1.63,55669,35,17,0.39,0,0
TXN00067,2024-06-23,2024,6,23,Aluminum,Metal,760110,1941,tons,6098.6,11837382.6,2400,1.5411,AusMetal,Australia,Perth,EuroEnergy,Germany,Hamburg,Shanghai-Singapore-Chennai,5600,Sea,IMO1684880,8,1.4,79916,27,29,0.52,0,2
TXN00068,2024-03-14,2024,3,14,CrudeOil,Energy,270900,3506,tons,81.94,287281.64,75,0.0925,AndesMining,Chile,Valparaiso,BharatMetals,India,Chennai,Shanghai-Singapore-Chennai,5600,Sea,IMO8574629,4,1.19,125988,5,2,0.64,0,0
TXN00069,2024-05-13,2024,5,13,CrudeOil,Energy,270900,1832,tons,70.47,129101.04,75,-0.0604,HuaxinSteel,China,Shanghai,BharatMetals,India,Chennai,Perth-Yokohama,7800,Sea,IMO9587209,4,1.75,102409,32,2,0.44,0,0
TXN00070,2024-05-28,2024,5,28,Steel,Metal,720712,2417,tons,600.05,1450320.85,520,0.1539,HuaxinSteel,China,Shanghai,EuroEnergy,Germany,Hamburg,Houston-Alexandria,11500,Sea,IMO4542577,6,0.88,87370,19,26,0.16,0,0
TXN00071,2024-05-30,2024,5,30,Aluminum,Metal,760110,1232,tons,2304.08,2838626.56,2400,-0.04,AndesMining,Chile,Valparaiso,JiangsuCopper,China,Shanghai,Houston-Alexandria,11500,Sea,IMO3533842,3,1.05,64453,22,22,0.57,0,0
TXN00072,2024-04-15,2024,4,15,Wheat,Agriculture,100199,2152,tons,274.0,589648.0,300,-0.0867,PetroGlobal,UAE,Dubai,JiangsuCopper,China,Shanghai,Perth-Yokohama,7800,Sea,IMO7104141,1,0.91,79209,21,22,0.79,0,0
TXN00073,2024-06-15,2024,6,15,Wheat,Agriculture,100199,2893,tons,349.93,1012347.49,300,0.1664,AusMetal,Australia,Perth,DeltaFoods,Egypt,Alexandria,Shanghai-Dubai-Turkey-Chennai,9100,Sea,IMO7518719,2,1.31,54335,5,5,0.43,1,0
TXN00074,2024-06-14,2024,6,14,Aluminum,Metal,760110,3565,tons,2516.16,8970110.4,2400,0.0484,AusMetal,Australia,Perth,BharatMetals,India,Chennai,Dubai-Hamburg,6100,Sea,IMO8760297,3,1.78,145025,5,22,0.33,0,0
TXN00075,2024-05-25,2024,5,25,Aluminum,Metal,760110,2453,tons,2464.05,6044314.65,2400,0.0267,AusMetal,Australia,Perth,NipponAlloys,Japan,Yokohama,Perth-Yokohama,7800,Sea,IMO9047228,5,1.19,65489,28,5,0.49,0,0
TXN00076,2024-01-19,2024,1,19,Steel,Metal,720712,3749,tons,555.5,2082569.5,520,0.0683,AndesMining,Chile,Valparaiso,DeltaFoods,Egypt,Alexandria,Dubai-Hamburg,6100,Sea,IMO1031546,1,1.29,66172,24,11,0.34,0,0
TXN00077,2024-04-25,2024,4,25,Copper,Metal,740311,2195,tons,8025.47,17615906.65,8500,-0.0558,AndesMining,Chile,Valparaiso,DeltaFoods,Egypt,Alexandria,Houston-Alexandria,11500,Sea,IMO9726118,4,0.87,74390,32,28,0.64,0,0
TXN00078,2024-03-25,2024,3,25,Steel,Metal,720712,3207,tons,513.54,1646922.78,520,-0.0124,AndesMining,Chile,Valparaiso,NipponAlloys,Japan,Yokohama,Valparaiso-Shanghai,17000,Sea,IMO8085361,1,1.02,82247,13,18,0.32,0,0
TXN00079,2024-01-25,2024,1,25,Wheat,Agriculture,100199,3018,tons,732.78,2211530.04,300,1.4426,AusMetal,Australia,Perth,DeltaFoods,Egypt,Alexandria,Perth-Yokohama,7800,Sea,IMO2154600,7,1.02,83593,18,18,0.27,0,2
TXN00080,2024-05-30,2024,5,30,Wheat,Agriculture,100199,1072,tons,325.46,348893.12,300,0.0849,HuaxinSteel,China,Shanghai,BharatMetals,India,Chennai,Shanghai-Singapore-Chennai,5600,Sea,IMO8901015,3,1.58,27317,8,28,0.12,0,0
TXN00081,2024-02-14,2024,2,14,Copper,Metal,740311,2593,tons,8002.49,20750456.57,8500,-0.0585,AgriGrain,USA,Houston,DeltaFoods,Egypt,Alexandria,Valparaiso-Shanghai,17000,Sea,IMO3854771,2,1.2,140384,17,23,0.6,0,0
TXN00082,2024-06-20,2024,6,20,Steel,Metal,720712,2585,tons,620.59,1604225.15,520,0.1934,AndesMining,Chile,Valparaiso,NipponAlloys,Japan,Yokohama,Houston-Alexandria,11500,Sea,IMO4792267,1,1.43,111398,6,22,0.7,0,0
TXN00083,2024-02-14,2024,2,14,Wheat,Agriculture,100199,1835,tons,309.27,567510.45,300,0.0309,HuaxinSteel,China,Shanghai,EuroEnergy,Germany,Hamburg,Shanghai-Singapore-Chennai,5600,Sea,IMO2921303,6,1.63,92297,34,4,0.29,0,0
TXN00084,2024-04-03,2024,4,3,Aluminum,Metal,760110,3161,tons,2571.87,8129681.07,2400,0.0716,AndesMining,Chile,Valparaiso,DeltaFoods,Egypt,Alexandria,Houston-Alexandria,11500,Sea,IMO5675431,7,0.98,135354,15,29,0.71,0,0
TXN00085,2024-03-14,2024,3,14,Copper,Metal,740311,953,tons,9135.44,8706074.32,8500,0.0748,AndesMining,Chile,Valparaiso,EuroEnergy,Germany,Hamburg,Valparaiso-Shanghai,17000,Sea,IMO6696246,1,1.42,66098,12,2,0.38,0,0
TXN00086,2024-02-15,2024,2,15,Aluminum,Metal,760110,970,tons,2851.21,2765673.7,2400,0.188,HuaxinSteel,China,Shanghai,BharatMetals,India,Chennai,Perth-Yokohama,7800,Sea,IMO8513254,7,0.84,76951,33,16,0.5,0,0
TXN00087,2024-03-17,2024,3,17,CrudeOil,Energy,270900,838,tons,88.63,74271.94,75,0.1817,AgriGrain,USA,Houston,DeltaFoods,Egypt,Alexandria,Houston-Alexandria,11500,Sea,IMO9644701,1,1.0,29752,11,1,0.26,0,0
TXN00088,2024-03-04,2024,3,4,Wheat,Agriculture,100199,1159,tons,302.97,351142.23,300,0.0099,AndesMining,Chile,Valparaiso,BharatMetals,India,Chennai,Valparaiso-Shanghai,17000,Sea,IMO4645518,3,1.75,134412,21,24,0.6,0,0
TXN00089,2024-06-03,2024,6,3,Steel,Metal,720712,1099,tons,544.38,598273.62,520,0.0469,AndesMining,Chile,Valparaiso,DeltaFoods,Egypt,Alexandria,Perth-Yokohama,7800,Sea,IMO1385858,6,1.59,54543,20,16,0.93,0,0
TXN00090,2024-01-04,2024,1,4,Aluminum,Metal,760110,2113,tons,2291.39,4841707.07,2400,-0.0453,AgriGrain,USA,Houston,NipponAlloys,Japan,Yokohama,Houston-Alexandria,11500,Sea,IMO9549038,8,0.73,115849,32,30,0.93,0,0
TXN00091,2024-02-26,2024,2,26,Aluminum,Metal,760110,2569,tons,2605.83,6694377.27,2400,0.0858,HuaxinSteel,China,Shanghai,EuroEnergy,Germany,Hamburg,Shanghai-Singapore-Chennai,5600,Sea,IMO2121942,5,1.05,145948,28,17,0.55,0,0
TXN00092,2024-04-10,2024,4,10,Copper,Metal,740311,2486,tons,9676.25,24055157.5,8500,0.1384,PetroGlobal,UAE,Dubai,JiangsuCopper,China,Shanghai,Dubai-Hamburg,6100,Sea,IMO3921949,8,1.42,28965,20,17,0.44,0,0
TXN00093,2024-04-12,2024,4,12,Copper,Metal,740311,2704,tons,7741.34,20932583.36,8500,-0.0893,AusMetal,Australia,Perth,NipponAlloys,Japan,Yokohama,Valparaiso-Shanghai,17000,Sea,IMO9756194,5,1.2,63829,22,22,0.74,0,0
TXN00094,2024-05-06,2024,5,6,Copper,Metal,740311,2539,tons,9935.5,25226234.5,8500,0.1689,PetroGlobal,UAE,Dubai,EuroEnergy,Germany,Hamburg,Valparaiso-Shanghai,17000,Sea,IMO9252602,7,0.97,145963,22,19,0.65,0,0
TXN00095,2024-01-04,2024,1,4,Copper,Metal,740311,1649,tons,8620.0,14214380.0,8500,0.0141,AndesMining,Chile,Valparaiso,EuroEnergy,Germany,Hamburg,Perth-Yokohama,7800,Sea,IMO2966139,4,1.55,54788,33,9,0.65,0,0
TXN00096,2024-04-14,2024,4,14,Steel,Metal,720712,1750,tons,598.89,1048057.5,520,0.1517,HuaxinSteel,China,Shanghai,BharatMetals,India,Chennai,Valparaiso-Shanghai,17000,Sea,IMO7832900,1,1.38,36740,7,26,0.46,0,0
TXN00097,2024-03-08,2024,3,8,Copper,Metal,740311,1640,tons,9826.87,16116066.8,8500,0.1561,AndesMining,Chile,Valparaiso,BharatMetals,India,Chennai,Houston-Alexandria,11500,Sea,IMO2282983,1,1.46,125026,17,9,0.22,0,0
TXN00098,2024-02-20,2024,2,20,CrudeOil,Energy,270900,2928,tons,69.71,204110.88,75,-0.0705,AndesMining,Chile,Valparaiso,JiangsuCopper,China,Shanghai,Dubai-Hamburg,6100,Sea,IMO4132531,1,0.99,58044,34,27,0.63,0,0
TXN00099,2024-06-02,2024,6,2,Copper,Metal,740311,2241,tons,9722.5,21788122.5,8500,0.1438,AndesMining,Chile,Valparaiso,NipponAlloys,Japan,Yokohama,Houston-Alexandria,11500,Sea,IMO3621069,3,0.99,118434,29,18,0.2,0,0
